"cus_caseid","Country","cyear","Year","ccode","partB","mil","persB","mon","sv_comm","InstalledCom","prev_demo","prev_partB","prev_persB","prev_mil","prev_mon","cus_syear","cus_smonth","cus_sday","cus_eyear","cus_emonth","cus_eday","cus_ARevnum","cus_AR","cus_sr","cus_fail","cus_t","cus_t_surv","gwf_t","gwf_fail","gwf_caseid","gwf_AR","gwf_sr","gwf_spell","svol_fail","svol_caseid","svol_AR","svol_t","svol_sr","mcm_AR","mcm_fail","mcm_t","mcm_caseid","mcm_sr","mcm_syear","mcm_eyear","e_migdppcln","e_migdpgro","v2xcs_ccsi","v2xel_frefair","e_regionpol","oil_gas_valuePOP_2014","milper","tpop","war","coup1","coup2","coup3","coup4","date1","date2","date3","date4","partymilit","partymilit2","polity2","reg.civsoc.lnd","e_migdppclnL1","warL1","milperL1","tpopL1","v2xcs_ccsiL1","reg.civsoc.lndL1","v2xel_frefairL1","e_migdppclnL2","warL2","milperL2","tpopL2","v2xcs_ccsiL2","reg.civsoc.lndL2","v2xel_frefairL2","e_migdppclnL3","warL3","milperL3","tpopL3","v2xcs_ccsiL3","reg.civsoc.lndL3","v2xel_frefairL3","e_migdppclnL4","warL4","milperL4","tpopL4","v2xcs_ccsiL4","reg.civsoc.lndL4","v2xel_frefairL4","e_migdppclnL5","warL5","milperL5","tpopL5","v2xcs_ccsiL5","reg.civsoc.lndL5","v2xel_frefairL5","e_migdppclnL6","warL6","milperL6","tpopL6","v2xcs_ccsiL6","reg.civsoc.lndL6","v2xel_frefairL6","e_migdppclnL7","warL7","milperL7","tpopL7","v2xcs_ccsiL7","reg.civsoc.lndL7","v2xel_frefairL7","e_migdppclnL8","warL8","milperL8","tpopL8","v2xcs_ccsiL8","reg.civsoc.lndL8","v2xel_frefairL8","e_migdppclnL9","warL9","milperL9","tpopL9","v2xcs_ccsiL9","reg.civsoc.lndL9","v2xel_frefairL9","e_migdppclnL10","warL10","milperL10","tpopL10","v2xcs_ccsiL10","reg.civsoc.lndL10","v2xel_frefairL10","e_migdppclnL11","warL11","milperL11","tpopL11","v2xcs_ccsiL11","reg.civsoc.lndL11","v2xel_frefairL11","e_migdppclnL12","warL12","milperL12","tpopL12","v2xcs_ccsiL12","reg.civsoc.lndL12","v2xel_frefairL12","e_migdppclnL13","warL13","milperL13","tpopL13","v2xcs_ccsiL13","reg.civsoc.lndL13","v2xel_frefairL13","e_migdppclnL14","warL14","milperL14","tpopL14","v2xcs_ccsiL14","reg.civsoc.lndL14","v2xel_frefairL14","e_migdppclnL15","warL15","milperL15","tpopL15","v2xcs_ccsiL15","reg.civsoc.lndL15","v2xel_frefairL15","e_migdppclnLead1","warLead1","milperLead1","tpopLead1","v2xcs_ccsiLead1","reg.civsoc.lndLead1","v2xel_frefairLead1","e_migdppclnLead2","warLead2","milperLead2","tpopLead2","v2xcs_ccsiLead2","reg.civsoc.lndLead2","v2xel_frefairLead2","e_migdppclnLead3","warLead3","milperLead3","tpopLead3","v2xcs_ccsiLead3","reg.civsoc.lndLead3","v2xel_frefairLead3","e_migdppclnLead4","warLead4","milperLead4","tpopLead4","v2xcs_ccsiLead4","reg.civsoc.lndLead4","v2xel_frefairLead4","e_migdppclnLead5","warLead5","milperLead5","tpopLead5","v2xcs_ccsiLead5","reg.civsoc.lndLead5","v2xel_frefairLead5","e_migdppclnLead6","warLead6","milperLead6","tpopLead6","v2xcs_ccsiLead6","reg.civsoc.lndLead6","v2xel_frefairLead6","e_migdppclnLead7","warLead7","milperLead7","tpopLead7","v2xcs_ccsiLead7","reg.civsoc.lndLead7","v2xel_frefairLead7","e_migdppclnLead8","warLead8","milperLead8","tpopLead8","v2xcs_ccsiLead8","reg.civsoc.lndLead8","v2xel_frefairLead8","e_migdppclnLead9","warLead9","milperLead9","tpopLead9","v2xcs_ccsiLead9","reg.civsoc.lndLead9","v2xel_frefairLead9","e_migdppclnLead10","warLead10","milperLead10","tpopLead10","v2xcs_ccsiLead10","reg.civsoc.lndLead10","v2xel_frefairLead10","e_migdppclnLead11","warLead11","milperLead11","tpopLead11","v2xcs_ccsiLead11","reg.civsoc.lndLead11","v2xel_frefairLead11","e_migdppclnLead12","warLead12","milperLead12","tpopLead12","v2xcs_ccsiLead12","reg.civsoc.lndLead12","v2xel_frefairLead12","e_migdppclnLead13","warLead13","milperLead13","tpopLead13","v2xcs_ccsiLead13","reg.civsoc.lndLead13","v2xel_frefairLead13","e_migdppclnLead14","warLead14","milperLead14","tpopLead14","v2xcs_ccsiLead14","reg.civsoc.lndLead14","v2xel_frefairLead14","e_migdppclnLead15","warLead15","milperLead15","tpopLead15","v2xcs_ccsiLead15","reg.civsoc.lndLead15","v2xel_frefairLead15","e_migdpgroL1","oil_gas_valuePOP_2014L1","date1L1","date2L1","date3L1","date4L1","coup1L1","coup2L1","coup3L1","coup4L1","polity2L1","e_migdpgroL2","oil_gas_valuePOP_2014L2","date1L2","date2L2","date3L2","date4L2","coup1L2","coup2L2","coup3L2","coup4L2","polity2L2","e_regionpol_fill","ln.oil_gas_valuePOP_2014","ln.oil_gas_valuePOP_2014L1","ln.oil_gas_valuePOP_2014L2","ln.tpop","ln.tpopL1","ln.tpopL2","milperpc","ln.milperpc","decadeYear","v2xcs_ccsi_keep","milperpc_keep","partymilit_keep","v2xcs_ccsi_avg","milperpc_avg","partymilit_avg","ln.milperpc_avg","pth_att_avg"
"Afghanistan 1919-1929","Afghanistan","700-1920",1920,700,0,0,0,1,0,0,0,0,0,0,0,1919,5,1,1929,1,14,0,1,0,1,1,10,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0.373,0,8,NA,55,6306,0,NA,NA,NA,NA,"","","","",NA,NA,-6,0.306,NA,0,NA,6231,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,0,55,6381,0.373,0.270666666666667,0,NA,0,55,6456,0.373,0.265,0,NA,0,65,6532,0.373,0.256333333333333,0,NA,0,65,6609,0.373,0.286666666666667,0,NA,0,76,6687,0.273,0.242666666666667,0,NA,0,76,6765,0.273,0.258666666666667,0,NA,0,76,6845,0.273,0.259666666666667,0,NA,0,60,6925,0.273,0.223,0,NA,0,60,7007,0.273,0.221,0,NA,0,60,7089,0.191,0.229333333333333,0,NA,0,60,7173,0.191,0.229333333333333,0.141,NA,0,60,7257,0.191,0.229333333333333,0.109,NA,0,72,7343,0.191,0.227,0.109,NA,0,45,7429,0.204,0.208333333333333,0.113,NA,0,72,7516,0.204,0.208333333333333,0.113,NA,NA,"","","","",NA,NA,NA,NA,-6,NA,NA,"","","","",NA,NA,NA,NA,-6,8,NA,NA,NA,8.74941540666365,8.73745258755058,NA,0.00872185220424992,-4.74192365487253,2,0.373,0.00872185220424992,NA,0.328555555555556,0.00977926292244274,NA,-4.62749116357896,NA
"Afghanistan 1929-1973","Afghanistan","700-1930",1930,700,0,0,0,1,0,0,0,0,0,0,1,1929,10,10,1973,7,17,1,1,0,1,1,44,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0.191,0,8,NA,60,7089,0,NA,NA,NA,NA,"","","","",NA,NA,-6,0.229333333333333,NA,0,60,7007,0.273,0.221,0,NA,0,60,6925,0.273,0.223,0,NA,0,76,6845,0.273,0.259666666666667,0,NA,0,76,6765,0.273,0.258666666666667,0,NA,0,76,6687,0.273,0.242666666666667,0,NA,0,65,6609,0.373,0.286666666666667,0,NA,0,65,6532,0.373,0.256333333333333,0,NA,0,55,6456,0.373,0.265,0,NA,0,55,6381,0.373,0.270666666666667,0,NA,0,55,6306,0.373,0.306,0,NA,0,NA,6231,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,NA,NA,NA,0.32,NA,0,NA,0,60,7173,0.191,0.229333333333333,0.141,NA,0,60,7257,0.191,0.229333333333333,0.109,NA,0,72,7343,0.191,0.227,0.109,NA,0,45,7429,0.204,0.208333333333333,0.113,NA,0,72,7516,0.204,0.208333333333333,0.113,NA,0,103,7605,0.204,0.207666666666667,0.113,NA,0,103,7694,0.204,0.207666666666667,0.127,NA,0,103,7785,0.204,0.197666666666667,0.127,NA,0,103,7876,0.204,0.204333333333333,0.127,NA,0,60,7969,0.204,0.204333333333333,0.128,NA,0,90,8063,0.204,0.231666666666667,0.128,NA,0,90,8158,0.204,0.287,0.128,NA,0,90,8254,0.204,0.287,0.107,NA,0,90,8351,0.204,0.287,0.107,NA,0,90,8449,0.204,0.311,0.107,NA,NA,"","","","",NA,NA,NA,NA,-6,NA,NA,"","","","",NA,NA,NA,NA,-6,8,NA,NA,NA,8.86644061952617,8.85480763261623,8.84303772496237,0.00846381718154888,-4.77195500363292,3,0.191,0.00846381718154888,NA,0.271883720930233,0.00834960043976282,NA,-4.7855415927897,0.0424808094905792
"Afghanistan 1973-1978","Afghanistan","700-1974",1974,700,0,0,1,0,0,0,0,0,0,0,1,1973,7,17,1978,4,27,2,1,0,1,1,5,1,0,"Afghanistan 73-78",1,0,5,0,"AFG 1946-1978",1,28,0,1,0,1,"Afghanistan 1973-1979",0,1973,1979,7.673,0.028,0.326,0,8,33.1141319,80,15070,0,0,0,0,0,"","","","",0,1,-7,0.15125,7.645,0,91,14724,0.367,0.15125,0.215,7.643,0,91,14356,0.367,0.1505,0.221,7.848,0,91,13984,0.367,0.13975,0.221,7.875,0,91,13623,0.367,0.13975,0.221,7.881,0,89,13280,0.367,0.11625,0.249,7.89,0,89,12957,0.367,0.123,0.264,7.879,0,95,12652,0.471,0.11725,0.264,7.876,0,97,12358,0.471,0.16425,0.264,7.89,0,97,12071,0.471,0.1115,0.172,7.891,0,112,11791,0.403,0.10175,0.131,7.895,0,110,11521,0.27,0.0995,0.112,7.899,0,104,11262,0.301,0.0955,0.13,7.904,0,110,11014,0.301,0.099,0.128,7.917,0,60,10775,0.236,0.089,0.125,7.903,0,50,10546,0.26,0.0875,0.124,7.708,0,130,15378,0.306,0.15125,0,7.735,0,142,15653,0.306,0.14775,0,7.657,0,143,15892,0.289,0.14125,0,7.703,0,110,16064,0.133,0.113,0,7.658,0,89,16128,0.044,0.15075,0,7.653,0,43,16063,0.052,0.1415,0,7.77,0,45,15862,0.052,0.13225,0,7.874,0,55,15549,0.052,0.13725,0,7.933,0,46,15177,0.052,0.1385,0,7.925,0,46,14814,0.052,0.15025,0,7.901,0,47,14519,0.052,0.15875,0,7.93,0,47,14300,0.052,0.19125,0,7.827,0,50,14165,0.052,0.2245,0,7.732,0,55,14162,0.052,0.25225,0.108,7.634,0,55,14346,0.068,0.35025,0.076,0.002,29.09780929,"17jul1973","","","",2,0,0,0,-7,-0.185,31.08671669,"","","","",0,0,0,0,-7,8,3.529711723659,3.40445238804304,3.46844213421249,9.62052764641968,9.59730200851979,9.57199290712769,0.0053085600530856,-5.23843465694666,7,0.326,0.0053085600530856,NA,0.30675,0.0079580441647874,NA,-4.83357201725827,0.209312320916905
"Afghanistan 1978-1992","Afghanistan","700-1979",1979,700,1,0,1,0,1,0,0,0,1,0,0,1978,4,27,1992,4,16,3,1,0,1,1,14,1,0,"Afghanistan 78-92",1,0,14,NA,"",NA,NA,NA,1,1,6,"Afghanistan 1973-1979",0,1973,1979,7.658,-0.044,0.044,0,8,31.65217693,89,16128,0,0,0,0,0,"","","","",3,0,NA,0.15075,7.703,0,110,16064,0.133,0.113,0,7.657,0,143,15892,0.289,0.14125,0,7.735,0,142,15653,0.306,0.14775,0,7.708,0,130,15378,0.306,0.15125,0,7.673,0,80,15070,0.326,0.15125,0,7.645,0,91,14724,0.367,0.15125,0.215,7.643,0,91,14356,0.367,0.1505,0.221,7.848,0,91,13984,0.367,0.13975,0.221,7.875,0,91,13623,0.367,0.13975,0.221,7.881,0,89,13280,0.367,0.11625,0.249,7.89,0,89,12957,0.367,0.123,0.264,7.879,0,95,12652,0.471,0.11725,0.264,7.876,0,97,12358,0.471,0.16425,0.264,7.89,0,97,12071,0.471,0.1115,0.172,7.891,0,112,11791,0.403,0.10175,0.131,7.653,0,43,16063,0.052,0.1415,0,7.77,0,45,15862,0.052,0.13225,0,7.874,0,55,15549,0.052,0.13725,0,7.933,0,46,15177,0.052,0.1385,0,7.925,0,46,14814,0.052,0.15025,0,7.901,0,47,14519,0.052,0.15875,0,7.93,0,47,14300,0.052,0.19125,0,7.827,0,50,14165,0.052,0.2245,0,7.732,0,55,14162,0.052,0.25225,0.108,7.634,0,55,14346,0.068,0.35025,0.076,7.597,0,58,14754,0.068,0.3595,0.071,7.474,0,45,15403,0.068,0.352571428571429,0.071,7.396,0,45,16276,0.188,0.319166666666667,0.059,6.985,0,45,17322,0.199,0.282,0,6.649,0,45,18470,0.199,0.279666666666667,0,0.047,35.7133534,"27apr1978","","","",2,0,0,0,0,-0.074,40.48335826,"","","","",0,0,0,0,-7,8,3.48591152823178,3.60314054174316,3.7252923410292,9.68837417291718,9.68439827154996,9.67363403969682,0.00551835317460317,-5.19967580113896,8,0.044,0.00551835317460317,3,0.0550769230769231,0.00348687206073382,3,-5.65875020231624,0.143151087595532
"Afghanistan 1996-2001","Afghanistan","700-1997",1997,700,1,0,0,0,0,0,0,0,0,0,0,1996,9,27,2001,11,13,4,1,1,1,1,5,1,0,"Afghanistan 96-01",1,1,5,0,"AFG 1996-2001",1,1,1,1,0,5,"Afghanistan 1992-2002",1,1992,2002,6.831,-0.081,0.035,0,8,16.89341977,NA,22132,0,0,0,0,0,"","","","",0,1,-7,0.312333333333333,6.916,0,NA,20883,0.035,0.301333333333333,0,7.004,0,NA,19661,0.168,0.282833333333333,0,6.649,0,45,18470,0.199,0.279666666666667,0,6.985,0,45,17322,0.199,0.282,0,7.396,0,45,16276,0.188,0.319166666666667,0.059,7.474,0,45,15403,0.068,0.352571428571429,0.071,7.597,0,58,14754,0.068,0.3595,0.071,7.634,0,55,14346,0.068,0.35025,0.076,7.732,0,55,14162,0.052,0.25225,0.108,7.827,0,50,14165,0.052,0.2245,0,7.93,0,47,14300,0.052,0.19125,0,7.901,0,47,14519,0.052,0.15875,0,7.925,0,46,14814,0.052,0.15025,0,7.933,0,46,15177,0.052,0.1385,0,7.874,0,55,15549,0.052,0.13725,0,6.752,0,NA,21354,0.035,0.357333333333333,0,6.668,0,400,21923,0.035,0.341166666666667,0,6.6,0,400,22720,0.035,0.359833333333333,0,6.54,1,NA,22080,0.205,0.348166666666667,0,6.992,0,50,22203,0.76,0.354833333333333,0,7.014,0,60,23116,0.76,0.363666666666667,0,7.009,0,44,24019,0.76,0.344666666666667,0.157,7.079,0,27,24861,0.748,0.305,0.299,7.136,0,27,25631,0.748,0.2765,0.287,7.277,0,50,26349,0.743,0.265666666666667,0.287,7.289,NA,51,27032,0.746,0.278,0.287,7.42,NA,53,27708,0.726,0.2895,0.265,7.43,NA,94,28398,0.731,0.274333333333333,0.224,7.491,NA,136,29105,0.69,0.291166666666667,0.218,7.573,NA,171,29825,0.69,0.288833333333333,0.215,-0.084,16.74830285,"","","","",0,0,0,0,-7,0.426,17.54031706,"","","","",0,0,0,0,0,8,2.88443303464684,2.8762898972656,2.91994766139385,10.004824986442,9.94673859453044,9.88644311792687,NA,NA,10,0.035,NA,NA,0.035,0.0179256559289138,NA,-4.02152230020006,0
"Afghanistan 2009-2014","Afghanistan","700-2010",2010,700,0,0,1,0,0,0,0,0,0,0,0,2009,8,20,2014,6,14,5,1,0,1,1,5,1,0,"Afghanistan 09-NA",1,0,1,NA,"",NA,NA,NA,1,0,8,"Afghanistan 2002-2012",0,2002,2012,7.43,0.01,0.731,0.224,8,0.856388564,94,28398,NA,0,0,0,0,"","","","",0,1,NA,0.274333333333333,7.42,NA,53,27708,0.726,0.2895,0.265,7.289,NA,51,27032,0.746,0.278,0.287,7.277,0,50,26349,0.743,0.265666666666667,0.287,7.136,0,27,25631,0.748,0.2765,0.287,7.079,0,27,24861,0.748,0.305,0.299,7.009,0,44,24019,0.76,0.344666666666667,0.157,7.014,0,60,23116,0.76,0.363666666666667,0,6.992,0,50,22203,0.76,0.354833333333333,0,6.54,1,NA,22080,0.205,0.348166666666667,0,6.6,0,400,22720,0.035,0.359833333333333,0,6.668,0,400,21923,0.035,0.341166666666667,0,6.752,0,NA,21354,0.035,0.357333333333333,0,6.831,0,NA,22132,0.035,0.312333333333333,0,6.916,0,NA,20883,0.035,0.301333333333333,0,7.004,0,NA,19661,0.168,0.282833333333333,0,7.491,NA,136,29105,0.69,0.291166666666667,0.218,7.573,NA,171,29825,0.69,0.288833333333333,0.215,7.613,NA,NA,NA,0.689,0.2995,0.264,7.612,NA,NA,NA,0.689,0.2875,0.271,7.564,NA,NA,NA,0.693,0.249,0.273,7.565,NA,NA,NA,0.705,0.227,0.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.16613084,"","","","",0,0,0,0,NA,0.012,0.642774567,"","","","",0,0,0,0,NA,8,0.618632968055631,0.153691294325895,0.496386621485418,10.2541092122618,10.229512549151,10.2048136209031,0.00331009226001831,-5.7107792168643,11,0.731,0.00331009226001831,NA,0.7,0.0045720913332008,NA,-5.38778455660851,0
"Albania 1924-1939","Albania","339-1925",1925,339,0,0,1,0,0,0,1,0,0,0,0,1924,12,24,1939,4,8,0,1,0,1,1,15,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0.302,0.233,1,NA,8,861,0,NA,NA,NA,NA,"","","","",NA,NA,-9,0.3,NA,0,8,847,0.469,0.336,0.211,NA,0,8,834,0.524,0.336,0.285,NA,0,5,821,0.532,0.336,0.286,NA,0,3,808,0.508,0.336,0.255,NA,0,4,795,0.541,0.336,0,NA,0,3,783,0.477,0.337,0,NA,0,3,771,0.477,0.256,0,NA,0,2,759,0.488,0.256,0,NA,0,2,747,0.488,0.256,0,NA,0,2,735,0.456,0.256,0,NA,0,2,724,0.469,0.3255,0,7.088,NA,NA,NA,0.511,NA,0,NA,NA,NA,NA,0.511,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,874,0.276,0.3,0.196,NA,0,8,888,0.276,0.322,0.196,NA,0,10,902,0.255,0.309,0.22,7.22,0,11,916,0.255,0.309,0,NA,0,11,931,0.255,0.309,0,NA,0,11,946,0.255,0.309,0,NA,0,13,961,0.255,0.309,0.26,NA,0,13,976,0.255,0.264,0.3,NA,0,13,991,0.255,0.264,0.3,NA,0,9,1005,0.207,0.2655,0.3,NA,0,9,1014,0.207,0.1565,0.3,NA,0,9,1030,0.207,0.1565,0.282,NA,0,9,1040,0.207,0.1565,0,NA,0,9,1070,0.115,0.1565,0.262,NA,NA,NA,NA,0.064,NA,0,NA,NA,"","","","",NA,NA,NA,NA,0,NA,NA,"","","","",NA,NA,NA,NA,0,1,NA,NA,NA,6.75925527066369,6.7428806357919,6.72743172485086,0.00929152148664344,-4.6786529627479,2,0.302,0.00929152148664344,NA,0.247642857142857,0.0106557285704332,NA,-4.5416576375024,NA
"Albania 1944-1991","Albania","339-1945",1945,339,1,0,0,0,1,0,0,0,0,0,0,1944,11,29,1991,6,1,1,1,1,1,1,47,NA,NA,"",NA,NA,NA,0,"ALB 1944-1992",1,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,0.044,0.261,1,3.242351354,60,1122,0,NA,NA,NA,NA,"","","","",NA,NA,-5,0.185,NA,0,60,1112,0.082,0.051,0,NA,NA,NA,NA,0.078,NA,0,NA,NA,NA,NA,0.083,NA,0,NA,NA,NA,NA,0.083,NA,0,NA,NA,NA,NA,0.064,NA,0,NA,0,9,1070,0.115,0.1565,0.262,NA,0,9,1040,0.207,0.1565,0,NA,0,9,1030,0.207,0.1565,0.282,NA,0,9,1014,0.207,0.1565,0.3,NA,0,9,1005,0.207,0.2655,0.3,NA,0,13,991,0.255,0.264,0.3,NA,0,13,976,0.255,0.264,0.3,NA,0,13,961,0.255,0.309,0.26,NA,0,11,946,0.255,0.309,0,NA,0,11,931,0.255,0.309,0,NA,0,60,1138,0.051,0.2005,0.298,NA,0,60,1154,0.047,0.185,0.298,NA,0,60,1164,0.047,0.176,0.298,NA,0,65,1183,0.047,0.1745,0.288,7.298,0,60,1215,0.029,0.253,0.338,7.341,0,55,1242,0.029,0.253,0.368,7.342,0,61,1270,0.029,0.253,0.368,7.382,0,53,1302,0.029,0.253,0.368,7.411,0,41,1340,0.029,0.2575,0.356,7.463,0,39,1379,0.029,0.2575,0.348,7.474,0,37,1420,0.029,0.2575,0.348,7.535,0,33,1462,0.029,0.2545,0.348,7.58,0,31,1507,0.029,0.2545,0.359,7.62,0,27,1556,0.029,0.2545,0.366,7.669,0,27,1611,0.024,0.2545,0.366,NA,4.849986859,"","","","",NA,NA,NA,NA,0,NA,14.70605863,"","","","",NA,NA,NA,NA,0,1,1.44511768015237,1.76643941491646,2.75404653791401,7.02375895473844,7.01481435127554,NA,0.053475935828877,-2.92852352386054,4,0.044,0.053475935828877,NA,0.0306739130434783,0.0267163620607509,4,-3.622479090004,0
"Algeria 1962-","Algeria","615-1963",1963,615,1,0,0,0,0,0,0,0,0,0,0,1962,7,3,NA,NA,NA,0,1,1,0,1,53,1,0,"Algeria 62-92",1,1,30,0,"ALG 1962-1992",1,1,1,1,0,2,"Algeria 1962-1965",1,1962,1965,NA,NA,0.212,0.35,3,230.4444281,70,11205,0,0,0,0,0,"","","","",1,0,-8,0.294333333333333,NA,0,45,10920,0.189,0.296666666666667,0.264,NA,NA,NA,NA,0.086,NA,0,NA,NA,NA,NA,0.086,NA,0,NA,NA,NA,NA,0.086,NA,0,NA,NA,NA,NA,0.086,NA,0,NA,NA,NA,NA,0.086,NA,0,NA,NA,NA,NA,0.086,NA,0.214,NA,NA,NA,NA,0.086,NA,0.244,NA,NA,NA,NA,0.086,NA,0,NA,NA,NA,NA,0.099,NA,0,NA,NA,NA,NA,0.099,NA,0.269,NA,NA,NA,NA,0.099,NA,0.149,NA,NA,NA,NA,0.099,NA,0.149,NA,NA,NA,NA,0.099,NA,0.149,NA,NA,NA,NA,0.099,NA,0.149,NA,0,65,11675,0.212,0.292166666666667,0.321,NA,0,60,11923,0.212,0.2815,0.332,NA,0,75,12661,0.212,0.280666666666667,0,NA,0,75,13078,0.212,0.278166666666667,0,NA,0,75,13495,0.212,0.28,0,NA,0,80,13912,0.212,0.253166666666667,0,8.754,0,80,13746,0.212,0.243833333333333,0,8.697,0,80,14177,0.212,0.244666666666667,0,8.797,0,80,14612,0.212,0.2445,0,8.853,0,80,15065,0.212,0.250833333333333,0,9.102,0,80,15533,0.212,0.250833333333333,0,9.162,0,80,16018,0.212,0.248166666666667,0,9.13,0,85,16521,0.212,0.249,0.336,9.207,0,75,17058,0.212,0.249166666666667,0.415,9.299,0,76,17626,0.212,0.2185,0.419,NA,203.739975,"","","","",0,0,0,0,-8,NA,161.0094076,"","","","",NA,NA,NA,NA,NA,3,5.44433979330545,5.32174075938553,5.08765440515123,9.32420462812523,9.29844282019773,NA,0.00624721106648818,-5.07562014418567,6,0.212,0.00624721106648818,1,0.309603773584906,0.00503062302325895,0.666666666666667,-5.2922114410578,0.076196933347241
"Angola 1975-","Angola","540-1976",1976,540,1,0,0,0,1,0,0,0,0,0,0,1975,11,11,NA,NA,NA,0,1,1,0,1,40,1,0,"Angola 75-NA",1,1,35,NA,"",NA,NA,NA,1,1,2,"Angola 1975-1976",0,1975,1976,7.978,-0.101,0.042,0,4,436.7567276,35,6277,1,0,0,0,0,"","","","",4,0,-7,0.237,8.085,1,30,6123,0.047,0.237,0,NA,NA,NA,NA,0.12,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,NA,NA,NA,NA,0.114,NA,0,7.994,0,47,6450,0.036,0.237,0,7.968,0,47,6636,0.036,0.237666666666667,0,7.985,0,47,6828,0.036,0.237666666666667,0,8.046,0,47,7019,0.038,0.256,0,8.025,0,53,7209,0.038,0.271,0,7.885,0,54,7399,0.038,0.271,0,7.809,0,54,7592,0.038,0.271,0,7.712,0,60,7793,0.038,0.271,0,7.779,0,66,8003,0.04,0.248333333333333,0,7.479,0,70,8225,0.04,0.26,0,7.594,0,74,8457,0.04,0.254666666666667,0,7.604,0,107,8700,0.04,0.263,0,7.671,0,107,9739,0.04,0.263,0,7.783,0,115,10020,0.04,0.58575,0,7.47,0,150,9515,0.124,0.637,0,NA,446.5934475,"","","","",0,0,0,0,-7,NA,543.0217125,"","","","",NA,NA,NA,NA,NA,4,6.08166333963724,6.10388533714384,6.29898915874328,8.7448067374019,8.71997075677757,NA,0.00557591205990123,-5.18929937682812,8,0.042,0.00557591205990123,4,0.291375,0.00820094883409803,4,-4.80350541993062,0.0255508919202518
