N°;Fecha;Medida;Actores;Lugar;Demanda
1;2/06/2025;Plantón;Trabajadores                  de construcción civil;Iquitos, Maynas, Loreto;"Exigen   a   la   empresa   Sinchi Karis         el         pago         de
remuneraciones"
2;2/06/2025;Plantón;Población  local  del  sector Virgen    de    Carmen    del distrito de Lircay;Lircay, Angaraes, Huancavelica;"Exigen    a    la    Municipalidad Provincial    de    Angaraes    el cumplimiento    de    obras    de desarrollo    en    favor    de    la
población local"
3;2/06/2025;Bloqueo;Mototaxistas;Cerro de Pasco, Pasco, Pasco;Rechazan     nueva     ruta     de transporte
4;2/06/2025;Plantón;Trabajadoras   sociales   de postas de salud Caylloma;Caylloma, Arequipa;"Exigen         reposición         de trabajadoras  que  habrían  sido despedidas      arbitrariamente,
según denuncian"
5;2/06/2025;Concentración;Población local de Cañete;Cañete, Lima Provincias;Exigen  puestos  laborales  a  la empresa Keda
6;2/06/2025;Toma de la universidad;Estudiantes         de         la Universidad   Nacional   de Juliaca (UNAJ);Juliaca, San Román, Puno;"Rechazan   el   accionar   de   la Dirección de Proyección Social y Extensión Cultural, la cual se niega    a    brindar    apoyo    al voluntariado y a los grupos de proyección social conformados por alumnos de la universidad, según    denuncian.    Además, exigen el cambio inmediato de la     actual     directora     y     la asignación        efectiva        del presupuesto destinado a estas
iniciativas estudiantiles."
7;2/06/2025;Plantón;Padres de familia de la I.E. Unión Progreso;Tambopata, Madre de Dios;"Denuncian    ante    la    UGEL Tambopata   malos   tratos   por
parte de la directora del centro educativo"
8;2/06/2025;Marcha;Sindicato de Obreros de la Municipalidad   Distrital   de Monsefú;Monsefú, Chiclayo, Lambayeque;"Exigen    a    la    Municipalidad Distrital          de          Monsefú Cumplimiento                        de remuneraciones,      beneficios, equipos  e  implementos,  entre
otros pedidos."
9;2/06/2025;Plantón;Artistas y actores;Cercado de Lima, Lima Metropolitana;"Rechazan ante el Congreso de la República la modificatoria de la Ley n° 28131, Ley del Artista, Intérprete  y  Ejecutante,  pues
afecta  su  estabilidad  laboral, según denuncian."
10;2/06/2025;Plantón;Familiares  de  una  víctima de presunta violación;"Gregorio Albarracín
Lanchipa, Tacna, Tacna";Exigen      justicia      ante      el Ministerio        Público        para presunta víctima de violación
11;2/06/2025;Plantón;Padres  de  familia  de  I.E. José Olaya;Piura, Piura;Exigen al Gobierno Regional de Piura la culminación de la obra de   modernización   del   centro educativo
12;2/06/2025;Plantón;Padres de familia de la I.E. n° 14024;Bernal, Sechura, Piura;Exigen    a    la    Municipalidad Distrital de Bernal la entrega de las   nuevas   instalaciones   del centro educativo.
13;2/06/2025;Bloqueo;Ronderos  de  los  caseríos de       Ñangalí,       Yumbe, Huambanaca y Sapún Bajo;Huancabamba, Huancabamba, Piura;"Exigen   a   las   empresas   de transportes   la   reducción   de tarifas de los pasajes hacia sus
zonas de residencia."
